subtaskpositionrevision,subtaskpositionrequestID,subtaskpositionwasLocallyCreated,subtaskpositionid,subtaskpositionlist_id,subtaskpositionvalues,subtaskpositiontask_id,subtaskpositionmatroshkaRevision,subtaskpositionuser_id,subtaskpositiontype,subtaskpositionisTemporary
0,BF13927E-6DF3-4E8F-A459-11988F940F73,false,3723020681,0,"",3723020681,0,0,subtask_position,false
0,0F066D8C-0220-45DE-B172-F665CF4470DA,false,3723021089,0,"",3723021089,0,0,subtask_position,false
0,898F5CD9-ACD9-4E6A-A84C-8C83F6B4547A,false,3723027019,0,"",3723027019,0,0,subtask_position,false
0,C16275F6-5A07-4F89-BE60-00897D174632,false,3723031321,0,"",3723031321,0,0,subtask_position,false
0,91FE5E8E-D980-4424-ABC9-E70DEE2307FC,false,3723031776,0,"",3723031776,0,0,subtask_position,false
0,3E0762C1-AB66-4B21-81B4-DA7D2F0E978B,false,3723032948,0,"",3723032948,0,0,subtask_position,false
0,6353122A-2233-4988-8DE4-1FE80C9A3992,false,3723033163,0,"",3723033163,0,0,subtask_position,false
0,F1C1E4D1-639D-4CDB-8CEC-24D947E7A12F,false,3723039448,0,"",3723039448,0,0,subtask_position,false
0,0CAA1AD8-59EC-407A-9224-52AD3ECE7193,false,3723033821,0,"",3723033821,0,0,subtask_position,false
0,0F68F0FE-F2CD-4D45-83A0-8F74A81605B4,false,3723039845,0,"",3723039845,0,0,subtask_position,false
0,95040261-8492-4A7A-9C72-1C7578B51C0E,false,3723050230,0,"",3723050230,0,0,subtask_position,false
0,35A9985A-FE8D-47DA-BA30-088FE62BEFDA,false,3723053867,0,"",3723053867,0,0,subtask_position,false
0,CE0FE5AF-45DB-4B68-BD01-F2653CEB9883,false,3723322621,0,"",3723322621,0,0,subtask_position,false
0,949DFBC2-832D-4757-87BE-B3A13E608946,false,3723322923,0,"",3723322923,0,0,subtask_position,false
0,E84B41E3-0147-4285-84D4-713D4F3CD96A,false,3723322410,0,"",3723322410,0,0,subtask_position,false
0,8ACEEE21-8D8C-4AF6-8F17-CE4511F09B8D,false,3723324209,0,"",3723324209,0,0,subtask_position,false
0,52CF9483-F690-46FF-9DAC-F92F59A22B96,false,3737378172,0,"",3737378172,0,0,subtask_position,false
0,326EAB44-CE96-4D16-A76D-21CEE87BDDD2,false,3737410689,0,"",3737410689,0,0,subtask_position,false
0,57B361EC-403C-41D7-8140-CB3246AFF767,false,3738224426,0,"",3738224426,0,0,subtask_position,false
0,FFEDF12C-E151-4083-88C9-0B3F017FBD05,false,3738224496,0,"",3738224496,0,0,subtask_position,false
0,F6CE07AC-7174-4B1E-A654-5F0AC26E1FAC,false,3738224708,0,"",3738224708,0,0,subtask_position,false
0,94251C63-8AE0-4802-A8FF-E110E32ACA04,false,3737982627,0,"",3737982627,0,0,subtask_position,false
0,F64AA920-F28B-4463-8335-3D9130599EB8,false,3738226573,0,"",3738226573,0,0,subtask_position,false
0,3654A7B9-B0CB-4B97-B196-8E1AF2DD4F01,false,3738224586,0,"",3738224586,0,0,subtask_position,false
0,764524AF-A28B-4E9A-AFDC-83B9BE88E75B,false,3738247937,0,"",3738247937,0,0,subtask_position,false
0,47712F84-43F6-4F2F-B85B-7281AC53F1AD,false,3738226829,0,"",3738226829,0,0,subtask_position,false
0,BBDB0E50-E038-4CE5-B0F4-02875B91AAA1,false,3738247506,0,"",3738247506,0,0,subtask_position,false
0,6FF91A3A-AFF9-42A0-B7C8-42AF75695A0F,false,3738247706,0,"",3738247706,0,0,subtask_position,false
0,E2F130E8-8D8E-496D-888F-5F9B36B27ECD,false,3738288541,0,"",3738288541,0,0,subtask_position,false
0,80DD0B5F-569D-47CC-BE57-F4CAEAE6FAC3,false,3743632121,0,"",3743632121,0,0,subtask_position,false
0,F3437869-3E9C-4FD7-B3A6-756DF0E1D868,false,3743651995,0,"",3743651995,0,0,subtask_position,false
0,02AA21BA-DDCE-44FC-BBE1-C48A602FCE2E,false,3743631589,0,"",3743631589,0,0,subtask_position,false
0,DB00B137-2DD6-46C6-8EDE-E2E9E53D74A0,false,3743642847,0,"",3743642847,0,0,subtask_position,false
0,4D017EB2-E22F-4952-A9C4-5D57E7A99690,false,3743724877,0,"",3743724877,0,0,subtask_position,false
0,2A156C24-2421-49AF-A786-17F834C461FD,false,3743653226,0,"",3743653226,0,0,subtask_position,false
